Programme,Country,Region,Year,Quarter,Period,Budget_USD,Expenditure_USD,Budget_Utilization_Pct,Target_Output,Actual_Output,Output_Achievement_Pct,Outcome_Score_1to5,Community_Feedback_Score,Complaints_Received,Complaints_Resolved
Food Security Initiative,Somalia,East Africa,2024,Q4,2024-Q4,257639,198268,77.0,47561,38802,81.6,3.8,4.9,0,1
Food Security Initiative,Somalia,East Africa,2025,Q1,2025-Q1,356264,291880,81.9,44047,42945,97.5,4.2,4.2,5,20
Food Security Initiative,Somalia,East Africa,2025,Q2,2025-Q2,252471,208522,82.6,44015,41361,94.0,4.7,4.6,4,0
Food Security Initiative,Somalia,East Africa,2025,Q3,2025-Q3,230062,149290,64.9,15112,12220,80.9,3.1,4.7,20,9
Food Security Initiative,Somalia,East Africa,2025,Q4,2025-Q4,184480,142567,77.3,39736,40436,101.8,4.5,3.5,2,3
Food Security Initiative,Nigeria,West Africa,2021,Q1,2021-Q1,102744,61807,60.2,18358,12999,70.8,4.4,3.6,16,20
Food Security Initiative,Nigeria,West Africa,2021,Q2,2021-Q2,420117,326623,77.7,10525,8929,84.8,2.7,3.6,19,13
Food Security Initiative,Nigeria,West Africa,2021,Q3,2021-Q3,435572,397501,91.3,22932,20906,91.2,4.8,4.4,14,15
Food Security Initiative,Nigeria,West Africa,2021,Q4,2021-Q4,477968,441837,92.4,10749,7567,70.4,2.8,3.5,8,5
Food Security Initiative,Nigeria,West Africa,2022,Q1,2022-Q1,380430,364381,95.8,40864,40187,98.3,4.2,3.8,10,9
Food Security Initiative,Nigeria,West Africa,2022,Q2,2022-Q2,124157,76707,61.8,7531,7950,105.6,4.5,4.4,13,11
Food Security Initiative,Nigeria,West Africa,2022,Q3,2022-Q3,115362,91034,78.9,27788,22411,80.6,3.2,4.7,12,18
Food Security Initiative,Nigeria,West Africa,2022,Q4,2022-Q4,137695,126513,91.9,3358,3210,95.6,3.8,3.3,0,17
Food Security Initiative,Nigeria,West Africa,2023,Q1,2023-Q1,359270,246469,68.6,42108,28506,67.7,4.6,4.9,20,7
Food Security Initiative,Nigeria,West Africa,2023,Q2,2023-Q2,495447,456928,92.2,7831,8497,108.5,3.4,4.6,14,6
Food Security Initiative,Nigeria,West Africa,2023,Q3,2023-Q3,157249,116454,74.1,47957,46566,97.1,3.1,3.4,5,1
Food Security Initiative,Nigeria,West Africa,2023,Q4,2023-Q4,230257,227477,98.8,42501,34669,81.6,2.6,4.6,13,19
Food Security Initiative,Nigeria,West Africa,2024,Q1,2024-Q1,156397,113942,72.9,11781,10297,87.4,3.2,3.1,2,11
Food Security Initiative,Nigeria,West Africa,2024,Q2,2024-Q2,109193,67696,62.0,39174,26745,68.3,2.8,3.1,3,0
Food Security Initiative,Nigeria,West Africa,2024,Q3,2024-Q3,396744,358745,90.4,36461,19293,52.9,3.5,4.9,13,14
Food Security Initiative,Nigeria,West Africa,2024,Q4,2024-Q4,453721,437523,96.4,46145,37863,82.1,4.3,4.8,15,3
Food Security Initiative,Nigeria,West Africa,2025,Q1,2025-Q1,137694,100221,72.8,48764,52110,106.9,4.1,4.0,6,6
Food Security Initiative,Nigeria,West Africa,2025,Q2,2025-Q2,471903,358770,76.0,19445,12083,62.1,5.0,4.6,9,15
Food Security Initiative,Nigeria,West Africa,2025,Q3,2025-Q3,220316,170522,77.4,10532,7468,70.9,2.8,3.7,13,6
Food Security Initiative,Nigeria,West Africa,2025,Q4,2025-Q4,334616,254706,76.1,16127,15948,98.9,2.5,4.6,9,6
Food Security Initiative,Ghana,West Africa,2021,Q1,2021-Q1,239325,177980,74.4,13820,10208,73.9,2.9,4.8,13,4
Food Security Initiative,Ghana,West Africa,2021,Q2,2021-Q2,35085,29593,84.3,21018,18306,87.1,4.9,5.0,8,7
Food Security Initiative,Ghana,West Africa,2021,Q3,2021-Q3,343842,257449,74.9,31555,30476,96.6,5.0,4.3,7,11
Food Security Initiative,Ghana,West Africa,2021,Q4,2021-Q4,325609,298927,91.8,46844,36770,78.5,4.5,3.7,20,14
Food Security Initiative,Ghana,West Africa,2022,Q1,2022-Q1,64951,53890,83.0,2676,2478,92.6,2.6,3.7,15,4
Food Security Initiative,Ghana,West Africa,2022,Q2,2022-Q2,476887,313691,65.8,23184,22840,98.5,3.1,4.8,22,12
Food Security Initiative,Ghana,West Africa,2022,Q3,2022-Q3,380108,233674,61.5,15907,11847,74.5,4.0,4.1,22,12
Food Security Initiative,Ghana,West Africa,2022,Q4,2022-Q4,391433,269034,68.7,29740,20675,69.5,2.9,3.5,23,19
Food Security Initiative,Ghana,West Africa,2023,Q1,2023-Q1,154336,123624,80.1,6787,5060,74.6,4.3,3.7,3,17
Food Security Initiative,Ghana,West Africa,2023,Q2,2023-Q2,50803,43761,86.1,5415,4556,84.1,3.2,4.1,10,7
Food Security Initiative,Ghana,West Africa,2023,Q3,2023-Q3,266904,242578,90.9,25219,20916,82.9,3.3,3.9,19,19
Food Security Initiative,Ghana,West Africa,2023,Q4,2023-Q4,392016,380596,97.1,4982,4418,88.7,4.8,3.2,0,8
Food Security Initiative,Ghana,West Africa,2024,Q1,2024-Q1,284525,185729,65.3,42609,29958,70.3,3.4,3.3,12,9
Food Security Initiative,Ghana,West Africa,2024,Q2,2024-Q2,226934,193896,85.4,45991,39015,84.8,4.9,5.0,11,4
Food Security Initiative,Ghana,West Africa,2024,Q3,2024-Q3,487783,365884,75.0,38671,39010,100.9,2.8,4.4,1,18
Food Security Initiative,Ghana,West Africa,2024,Q4,2024-Q4,114042,87075,76.4,19058,17040,89.4,3.0,3.8,5,16
Food Security Initiative,Ghana,West Africa,2025,Q1,2025-Q1,278390,175492,63.0,24228,16719,69.0,3.3,3.2,14,4
Food Security Initiative,Ghana,West Africa,2025,Q2,2025-Q2,67001,63373,94.6,22795,22256,97.6,3.7,4.1,22,16
Food Security Initiative,Ghana,West Africa,2025,Q3,2025-Q3,246979,204442,82.8,11292,7427,65.8,4.4,3.3,8,3
Food Security Initiative,Ghana,West Africa,2025,Q4,2025-Q4,184243,118201,64.2,4894,3885,79.4,4.3,3.4,4,15
Food Security Initiative,Senegal,West Africa,2021,Q1,2021-Q1,477011,344740,72.3,20415,9225,45.2,4.3,4.2,23,11
Food Security Initiative,Senegal,West Africa,2021,Q2,2021-Q2,245488,210569,85.8,20541,13460,65.5,4.3,3.6,8,19
Food Security Initiative,Senegal,West Africa,2021,Q3,2021-Q3,454943,331623,72.9,19285,11153,57.8,5.0,4.6,16,10
Food Security Initiative,Senegal,West Africa,2021,Q4,2021-Q4,248471,165447,66.6,12812,9769,76.2,2.5,3.1,10,15
Food Security Initiative,Senegal,West Africa,2022,Q1,2022-Q1,420385,293271,69.8,11913,10281,86.3,4.6,4.5,17,20
Food Security Initiative,Senegal,West Africa,2022,Q2,2022-Q2,438497,300915,68.6,30835,21548,69.9,3.5,4.0,1,6
Food Security Initiative,Senegal,West Africa,2022,Q3,2022-Q3,97920,90486,92.4,5576,6363,114.1,2.8,4.1,7,5
Food Security Initiative,Senegal,West Africa,2022,Q4,2022-Q4,38802,27141,69.9,32818,28350,86.4,3.6,4.3,8,5
Food Security Initiative,Senegal,West Africa,2023,Q1,2023-Q1,390127,274179,70.3,32614,26339,80.8,3.1,5.0,13,3
Food Security Initiative,Senegal,West Africa,2023,Q2,2023-Q2,489329,353492,72.2,34434,27085,78.7,2.8,4.1,1,14
Food Security Initiative,Senegal,West Africa,2023,Q3,2023-Q3,206919,195162,94.3,48466,32617,67.3,3.9,4.4,17,15
Food Security Initiative,Senegal,West Africa,2023,Q4,2023-Q4,259997,231720,89.1,34308,34464,100.5,4.2,4.7,3,4
Food Security Initiative,Senegal,West Africa,2024,Q1,2024-Q1,84830,80422,94.8,24911,14984,60.2,4.1,4.6,2,6
Food Security Initiative,Senegal,West Africa,2024,Q2,2024-Q2,475172,286177,60.2,20619,23292,113.0,5.0,3.4,5,5
Food Security Initiative,Senegal,West Africa,2024,Q3,2024-Q3,413182,325628,78.8,35340,28282,80.0,3.7,3.3,8,18
Food Security Initiative,Senegal,West Africa,2024,Q4,2024-Q4,487085,369225,75.8,45459,41697,91.7,2.9,3.7,18,6
Food Security Initiative,Senegal,West Africa,2025,Q1,2025-Q1,325946,244259,74.9,2270,2045,90.1,2.6,3.1,16,18
Food Security Initiative,Senegal,West Africa,2025,Q2,2025-Q2,114670,73633,64.2,29290,22349,76.3,4.9,4.9,2,7
Food Security Initiative,Senegal,West Africa,2025,Q3,2025-Q3,422786,286467,67.8,34644,26922,77.7,3.8,4.1,21,3
Food Security Initiative,Senegal,West Africa,2025,Q4,2025-Q4,485236,334151,68.9,23538,17770,75.5,4.4,3.6,0,9
Food Security Initiative,Ivory Coast,West Africa,2021,Q1,2021-Q1,377203,365454,96.9,46606,34138,73.2,4.5,4.6,3,12
Food Security Initiative,Ivory Coast,West Africa,2021,Q2,2021-Q2,215852,154591,71.6,40688,46358,113.9,3.3,4.9,3,10
Food Security Initiative,Ivory Coast,West Africa,2021,Q3,2021-Q3,100622,67003,66.6,3892,3274,84.1,4.5,4.5,2,14
Food Security Initiative,Ivory Coast,West Africa,2021,Q4,2021-Q4,455525,440862,96.8,48380,36961,76.4,3.8,3.2,21,15
Food Security Initiative,Ivory Coast,West Africa,2022,Q1,2022-Q1,258055,215598,83.5,43179,35417,82.0,2.9,3.0,8,19
Food Security Initiative,Ivory Coast,West Africa,2022,Q2,2022-Q2,364984,305659,83.7,2380,2071,87.0,4.7,4.3,10,1
Food Security Initiative,Ivory Coast,West Africa,2022,Q3,2022-Q3,364023,361407,99.3,42787,32701,76.4,4.9,3.6,14,10
Food Security Initiative,Ivory Coast,West Africa,2022,Q4,2022-Q4,403540,385672,95.6,39300,39100,99.5,4.7,4.5,4,6
Food Security Initiative,Ivory Coast,West Africa,2023,Q1,2023-Q1,472606,390083,82.5,5190,4479,86.3,3.4,4.6,25,20
Food Security Initiative,Ivory Coast,West Africa,2023,Q2,2023-Q2,168349,152061,90.3,23179,16095,69.4,4.8,3.0,25,1
Food Security Initiative,Ivory Coast,West Africa,2023,Q3,2023-Q3,409965,378660,92.4,6634,5684,85.7,4.1,5.0,17,19
Food Security Initiative,Ivory Coast,West Africa,2023,Q4,2023-Q4,219958,166995,75.9,8065,6649,82.4,3.3,4.2,12,8
Food Security Initiative,Ivory Coast,West Africa,2024,Q1,2024-Q1,113328,105422,93.0,17733,20151,113.6,4.6,4.0,24,12
Food Security Initiative,Ivory Coast,West Africa,2024,Q2,2024-Q2,66760,45842,68.7,3344,2321,69.4,2.9,3.0,6,5
Food Security Initiative,Ivory Coast,West Africa,2024,Q3,2024-Q3,223687,198476,88.7,28371,22866,80.6,3.2,4.1,9,20
Food Security Initiative,Ivory Coast,West Africa,2024,Q4,2024-Q4,414557,314724,75.9,44864,35137,78.3,4.2,3.1,4,3
Food Security Initiative,Ivory Coast,West Africa,2025,Q1,2025-Q1,176524,114665,65.0,34168,18191,53.2,3.2,3.1,25,13
Food Security Initiative,Ivory Coast,West Africa,2025,Q2,2025-Q2,405817,388889,95.8,22322,18939,84.8,4.2,3.2,21,19
Food Security Initiative,Ivory Coast,West Africa,2025,Q3,2025-Q3,88832,55610,62.6,25530,28159,110.3,4.4,4.6,21,3
Food Security Initiative,Ivory Coast,West Africa,2025,Q4,2025-Q4,456235,360950,79.1,26081,19468,74.6,3.6,3.0,16,6
Food Security Initiative,Mali,West Africa,2021,Q1,2021-Q1,276703,268574,97.1,31192,20491,65.7,4.8,4.8,12,15
Food Security Initiative,Mali,West Africa,2021,Q2,2021-Q2,160760,160064,99.6,38900,35678,91.7,4.7,5.0,19,13
Food Security Initiative,Mali,West Africa,2021,Q3,2021-Q3,67302,46968,69.8,29691,26741,90.1,3.1,3.2,25,11
Food Security Initiative,Mali,West Africa,2021,Q4,2021-Q4,341843,339029,99.2,14213,12844,90.4,3.2,4.7,13,20
Food Security Initiative,Mali,West Africa,2022,Q1,2022-Q1,243355,146414,60.2,8091,6842,84.6,3.1,4.4,1,16
Food Security Initiative,Mali,West Africa,2022,Q2,2022-Q2,199172,164561,82.6,32377,25572,79.0,2.7,3.3,21,7
Food Security Initiative,Mali,West Africa,2022,Q3,2022-Q3,359534,271527,75.5,46973,43674,93.0,3.5,3.2,22,4
Food Security Initiative,Mali,West Africa,2022,Q4,2022-Q4,279691,222001,79.4,36555,27933,76.4,2.7,3.3,20,20
Food Security Initiative,Mali,West Africa,2023,Q1,2023-Q1,295082,205331,69.6,7503,5807,77.4,3.2,4.1,9,14
Food Security Initiative,Mali,West Africa,2023,Q2,2023-Q2,249300,221563,88.9,7189,7184,99.9,5.0,3.3,25,15
Food Security Initiative,Mali,West Africa,2023,Q3,2023-Q3,177492,109994,62.0,11739,11532,98.2,4.6,4.4,4,9
Food Security Initiative,Mali,West Africa,2023,Q4,2023-Q4,461208,452724,98.2,18295,16968,92.7,3.8,4.8,16,13
Food Security Initiative,Mali,West Africa,2024,Q1,2024-Q1,174917,172664,98.7,39259,30634,78.0,3.0,4.1,1,17
Food Security Initiative,Mali,West Africa,2024,Q2,2024-Q2,60125,46970,78.1,4955,4841,97.7,4.7,3.2,16,3
Food Security Initiative,Mali,West Africa,2024,Q3,2024-Q3,287728,202300,70.3,29847,23716,79.5,3.3,3.8,13,3
Food Security Initiative,Mali,West Africa,2024,Q4,2024-Q4,263613,223817,84.9,45309,40073,88.4,2.9,4.7,23,18
Food Security Initiative,Mali,West Africa,2025,Q1,2025-Q1,446154,347561,77.9,18605,15633,84.0,3.2,3.3,11,8
Food Security Initiative,Mali,West Africa,2025,Q2,2025-Q2,327006,196693,60.1,7358,7184,97.6,3.8,3.2,24,16
Food Security Initiative,Mali,West Africa,2025,Q3,2025-Q3,28529,21587,75.7,9466,5794,61.2,2.9,4.5,23,14
Food Security Initiative,Mali,West Africa,2025,Q4,2025-Q4,114137,111707,97.9,13941,13169,94.5,2.8,3.3,12,1
Food Security Initiative,DRC,Central Africa,2021,Q1,2021-Q1,63668,62649,98.4,29279,26551,90.7,3.3,4.3,22,9
Food Security Initiative,DRC,Central Africa,2021,Q2,2021-Q2,184598,116668,63.2,40483,33399,82.5,3.1,4.5,23,14
Food Security Initiative,DRC,Central Africa,2021,Q3,2021-Q3,417071,338442,81.1,45926,38184,83.1,4.7,3.9,14,19
Food Security Initiative,DRC,Central Africa,2021,Q4,2021-Q4,443537,439855,99.2,19371,18624,96.1,4.9,3.7,10,5
Food Security Initiative,DRC,Central Africa,2022,Q1,2022-Q1,130660,124697,95.4,14129,11150,78.9,4.1,3.1,2,19
Food Security Initiative,DRC,Central Africa,2022,Q2,2022-Q2,155957,145770,93.5,46132,42581,92.3,2.9,3.1,3,13
Food Security Initiative,DRC,Central Africa,2022,Q3,2022-Q3,300166,228152,76.0,3174,3224,101.6,4.9,3.9,0,12
Food Security Initiative,DRC,Central Africa,2022,Q4,2022-Q4,81173,50666,62.4,2871,2543,88.6,4.4,4.1,5,20
Food Security Initiative,DRC,Central Africa,2023,Q1,2023-Q1,270148,210487,77.9,32157,27452,85.4,3.3,4.5,22,12
Food Security Initiative,DRC,Central Africa,2023,Q2,2023-Q2,475491,388741,81.8,45104,25056,55.6,4.7,4.1,23,19
Food Security Initiative,DRC,Central Africa,2023,Q3,2023-Q3,400586,278529,69.5,33897,29766,87.8,3.0,4.2,9,19
Food Security Initiative,DRC,Central Africa,2023,Q4,2023-Q4,446315,331650,74.3,42418,43383,102.3,4.6,3.9,11,12
Food Security Initiative,DRC,Central Africa,2024,Q1,2024-Q1,441863,393512,89.1,21834,17866,81.8,5.0,4.6,2,4
Food Security Initiative,DRC,Central Africa,2024,Q2,2024-Q2,90838,60314,66.4,2909,2114,72.7,3.2,3.7,6,3
Food Security Initiative,DRC,Central Africa,2024,Q3,2024-Q3,447802,385175,86.0,3041,2951,97.0,3.8,4.6,22,6
Food Security Initiative,DRC,Central Africa,2024,Q4,2024-Q4,470369,364456,77.5,3757,3660,97.4,2.8,4.1,6,15
Food Security Initiative,DRC,Central Africa,2025,Q1,2025-Q1,360065,353195,98.1,11512,10418,90.5,4.1,4.9,20,7
Food Security Initiative,DRC,Central Africa,2025,Q2,2025-Q2,248478,191660,77.1,43029,45386,105.5,3.3,5.0,25,17
Food Security Initiative,DRC,Central Africa,2025,Q3,2025-Q3,120094,113534,94.5,7642,6031,78.9,3.5,3.3,9,14
Food Security Initiative,DRC,Central Africa,2025,Q4,2025-Q4,97681,96032,98.3,33063,18298,55.3,3.5,4.8,13,0
Food Security Initiative,Cameroon,Central Africa,2021,Q1,2021-Q1,81057,54773,67.6,12885,10144,78.7,4.4,4.2,4,14
Food Security Initiative,Cameroon,Central Africa,2021,Q2,2021-Q2,274304,233223,85.0,32899,28171,85.6,2.6,3.4,0,14
Food Security Initiative,Cameroon,Central Africa,2021,Q3,2021-Q3,326827,205813,63.0,17900,17548,98.0,3.9,4.2,6,9
Food Security Initiative,Cameroon,Central Africa,2021,Q4,2021-Q4,318545,261111,82.0,27672,17545,63.4,3.2,3.5,1,10
Food Security Initiative,Cameroon,Central Africa,2022,Q1,2022-Q1,24128,15799,65.5,8728,7877,90.2,3.0,3.4,20,13
Food Security Initiative,Cameroon,Central Africa,2022,Q2,2022-Q2,237939,225855,94.9,34486,34746,100.8,4.4,4.3,23,18
Food Security Initiative,Cameroon,Central Africa,2022,Q3,2022-Q3,332391,253529,76.3,49911,37608,75.4,4.6,4.5,17,9
Food Security Initiative,Cameroon,Central Africa,2022,Q4,2022-Q4,39407,28327,71.9,33948,33768,99.5,3.6,3.4,12,15
Food Security Initiative,Cameroon,Central Africa,2023,Q1,2023-Q1,289146,186331,64.4,40734,28770,70.6,4.6,5.0,23,19
Food Security Initiative,Cameroon,Central Africa,2023,Q2,2023-Q2,375817,237008,63.1,33975,33556,98.8,3.7,4.6,7,1
Food Security Initiative,Cameroon,Central Africa,2023,Q3,2023-Q3,296985,271913,91.6,3246,2410,74.2,3.6,4.2,13,18
Food Security Initiative,Cameroon,Central Africa,2023,Q4,2023-Q4,185596,183661,99.0,38258,39597,103.5,3.3,4.8,2,8
Food Security Initiative,Cameroon,Central Africa,2024,Q1,2024-Q1,488124,345466,70.8,44487,53030,119.2,3.2,3.5,13,15
Food Security Initiative,Cameroon,Central Africa,2024,Q2,2024-Q2,81310,52479,64.5,34426,25472,74.0,2.8,3.7,19,20
Food Security Initiative,Cameroon,Central Africa,2024,Q3,2024-Q3,201804,182661,90.5,31381,22672,72.2,4.6,4.2,22,13
Food Security Initiative,Cameroon,Central Africa,2024,Q4,2024-Q4,30908,30424,98.4,12573,11122,88.5,4.2,3.4,9,6
Food Security Initiative,Cameroon,Central Africa,2025,Q1,2025-Q1,266017,210023,79.0,24534,20119,82.0,2.5,3.3,14,7
Food Security Initiative,Cameroon,Central Africa,2025,Q2,2025-Q2,286147,200493,70.1,16398,14092,85.9,3.6,4.0,18,10
Food Security Initiative,Cameroon,Central Africa,2025,Q3,2025-Q3,335673,219936,65.5,48871,48378,99.0,3.2,3.0,21,14
Food Security Initiative,Cameroon,Central Africa,2025,Q4,2025-Q4,88764,56015,63.1,21227,23399,110.2,3.5,3.3,23,12
Food Security Initiative,Chad,Central Africa,2021,Q1,2021-Q1,238555,179089,75.1,46112,44643,96.8,3.1,3.7,20,11
Food Security Initiative,Chad,Central Africa,2021,Q2,2021-Q2,437318,369801,84.6,32954,38577,117.1,4.7,4.5,25,5
Food Security Initiative,Chad,Central Africa,2021,Q3,2021-Q3,346024,284210,82.1,15579,10048,64.5,4.7,3.1,9,2
Food Security Initiative,Chad,Central Africa,2021,Q4,2021-Q4,369729,367951,99.5,33646,21561,64.1,4.2,4.4,4,5
Food Security Initiative,Chad,Central Africa,2022,Q1,2022-Q1,124587,76645,61.5,12244,9755,79.7,2.8,3.6,19,15
Food Security Initiative,Chad,Central Africa,2022,Q2,2022-Q2,72902,69703,95.6,29261,35672,121.9,3.9,3.8,15,9
Food Security Initiative,Chad,Central Africa,2022,Q3,2022-Q3,143060,89995,62.9,15725,15723,100.0,4.0,4.0,17,1
Food Security Initiative,Chad,Central Africa,2022,Q4,2022-Q4,29505,22822,77.3,25513,25722,100.8,4.0,3.5,8,11
Food Security Initiative,Chad,Central Africa,2023,Q1,2023-Q1,374905,366096,97.7,12394,7389,59.6,3.6,4.6,5,16
Food Security Initiative,Chad,Central Africa,2023,Q2,2023-Q2,36761,24433,66.5,6172,5982,96.9,3.2,4.4,10,13
Food Security Initiative,Chad,Central Africa,2023,Q3,2023-Q3,79752,57915,72.6,42472,33672,79.3,4.4,3.1,7,3
Food Security Initiative,Chad,Central Africa,2023,Q4,2023-Q4,314640,190368,60.5,16686,14938,89.5,4.7,4.2,15,8
Food Security Initiative,Chad,Central Africa,2024,Q1,2024-Q1,198427,146980,74.1,25281,23717,93.8,3.8,5.0,24,1
Food Security Initiative,Chad,Central Africa,2024,Q2,2024-Q2,423751,420906,99.3,38505,24962,64.8,4.1,3.9,8,4
Food Security Initiative,Chad,Central Africa,2024,Q3,2024-Q3,467431,372288,79.6,47228,35465,75.1,3.3,3.2,16,19
Food Security Initiative,Chad,Central Africa,2024,Q4,2024-Q4,371003,233488,62.9,8825,7901,89.5,3.0,4.0,22,1
Food Security Initiative,Chad,Central Africa,2025,Q1,2025-Q1,249547,228063,91.4,31958,17112,53.5,2.7,4.1,24,3
Food Security Initiative,Chad,Central Africa,2025,Q2,2025-Q2,75517,53504,70.9,42014,34546,82.2,4.0,5.0,19,3
Food Security Initiative,Chad,Central Africa,2025,Q3,2025-Q3,451808,291201,64.5,38862,32229,82.9,4.9,4.5,1,16
Food Security Initiative,Chad,Central Africa,2025,Q4,2025-Q4,75265,72201,95.9,12947,8142,62.9,3.3,5.0,20,3
Food Security Initiative,South Africa,Southern Africa,2021,Q1,2021-Q1,476586,305555,64.1,15460,12766,82.6,4.9,4.3,11,5
Food Security Initiative,South Africa,Southern Africa,2021,Q2,2021-Q2,401864,366267,91.1,21144,17274,81.7,4.4,4.1,22,14
Food Security Initiative,South Africa,Southern Africa,2021,Q3,2021-Q3,419488,385507,91.9,35154,21123,60.1,3.9,4.1,15,3
Food Security Initiative,South Africa,Southern Africa,2021,Q4,2021-Q4,100895,93769,92.9,44407,43460,97.9,5.0,3.8,11,10
Food Security Initiative,South Africa,Southern Africa,2022,Q1,2022-Q1,449476,406935,90.5,11029,9684,87.8,3.4,3.1,3,6
Food Security Initiative,South Africa,Southern Africa,2022,Q2,2022-Q2,250219,186487,74.5,29246,23671,80.9,4.0,3.2,24,0
Food Security Initiative,South Africa,Southern Africa,2022,Q3,2022-Q3,148616,144100,97.0,33042,23116,70.0,3.5,4.5,10,9
Food Security Initiative,South Africa,Southern Africa,2022,Q4,2022-Q4,284777,239380,84.1,13223,13658,103.3,4.2,3.8,2,8
Food Security Initiative,South Africa,Southern Africa,2023,Q1,2023-Q1,215263,171161,79.5,48871,29312,60.0,4.4,4.5,24,13
Food Security Initiative,South Africa,Southern Africa,2023,Q2,2023-Q2,209081,149906,71.7,43251,32493,75.1,2.7,3.0,21,7
Food Security Initiative,South Africa,Southern Africa,2023,Q3,2023-Q3,99487,76702,77.1,36711,32105,87.5,3.7,3.5,13,7
Food Security Initiative,South Africa,Southern Africa,2023,Q4,2023-Q4,92348,88330,95.6,30103,25451,84.5,3.7,4.2,13,13
Food Security Initiative,South Africa,Southern Africa,2024,Q1,2024-Q1,490844,313289,63.8,32064,29961,93.4,4.0,3.7,16,11
Food Security Initiative,South Africa,Southern Africa,2024,Q2,2024-Q2,35604,30272,85.0,31004,25663,82.8,4.8,3.5,4,0
Food Security Initiative,South Africa,Southern Africa,2024,Q3,2024-Q3,396242,317804,80.2,35904,34690,96.6,4.2,3.7,2,2
Food Security Initiative,South Africa,Southern Africa,2024,Q4,2024-Q4,197368,143200,72.6,22631,24282,107.3,4.2,3.4,12,5
Food Security Initiative,South Africa,Southern Africa,2025,Q1,2025-Q1,247578,190105,76.8,6028,5064,84.0,4.9,3.3,12,1
Food Security Initiative,South Africa,Southern Africa,2025,Q2,2025-Q2,366122,305692,83.5,44039,40394,91.7,3.0,4.6,4,18
Food Security Initiative,South Africa,Southern Africa,2025,Q3,2025-Q3,50308,45955,91.3,43393,39842,91.8,5.0,4.8,22,16
Food Security Initiative,South Africa,Southern Africa,2025,Q4,2025-Q4,175044,172002,98.3,29479,19624,66.6,3.4,3.2,12,17
Food Security Initiative,Mozambique,Southern Africa,2021,Q1,2021-Q1,477989,322804,67.5,21944,23461,106.9,2.9,4.3,23,10
Food Security Initiative,Mozambique,Southern Africa,2021,Q2,2021-Q2,496698,362306,72.9,24554,20879,85.0,3.4,4.3,0,8
Food Security Initiative,Mozambique,Southern Africa,2021,Q3,2021-Q3,491968,387080,78.7,36589,28893,79.0,4.5,3.1,19,4
Food Security Initiative,Mozambique,Southern Africa,2021,Q4,2021-Q4,387156,262345,67.8,28472,25758,90.5,4.1,4.7,14,20
Food Security Initiative,Mozambique,Southern Africa,2022,Q1,2022-Q1,127549,89421,70.1,37679,34447,91.4,3.0,4.6,19,19
Food Security Initiative,Mozambique,Southern Africa,2022,Q2,2022-Q2,361855,329090,90.9,30976,17064,55.1,2.9,3.9,22,11
Food Security Initiative,Mozambique,Southern Africa,2022,Q3,2022-Q3,485397,441677,91.0,44516,45711,102.7,2.6,4.2,12,6
Food Security Initiative,Mozambique,Southern Africa,2022,Q4,2022-Q4,481884,318554,66.1,21761,13793,63.4,4.6,3.7,2,1
Food Security Initiative,Mozambique,Southern Africa,2023,Q1,2023-Q1,301769,215047,71.3,23921,14436,60.3,3.2,4.8,12,4
Food Security Initiative,Mozambique,Southern Africa,2023,Q2,2023-Q2,292876,263697,90.0,37441,24485,65.4,2.7,4.4,9,6
Food Security Initiative,Mozambique,Southern Africa,2023,Q3,2023-Q3,68664,55680,81.1,35532,28624,80.6,3.9,4.0,17,9
Food Security Initiative,Mozambique,Southern Africa,2023,Q4,2023-Q4,293330,233439,79.6,24328,22993,94.5,3.6,3.4,24,20
Food Security Initiative,Mozambique,Southern Africa,2024,Q1,2024-Q1,103900,93747,90.2,3534,3303,93.5,3.2,4.4,0,17
Food Security Initiative,Mozambique,Southern Africa,2024,Q2,2024-Q2,330642,322801,97.6,18953,15939,84.1,4.2,4.7,7,9
Food Security Initiative,Mozambique,Southern Africa,2024,Q3,2024-Q3,400900,373234,93.1,29705,30606,103.0,2.9,4.1,16,3
Food Security Initiative,Mozambique,Southern Africa,2024,Q4,2024-Q4,403771,279477,69.2,5928,3545,59.8,4.4,4.1,11,8
Food Security Initiative,Mozambique,Southern Africa,2025,Q1,2025-Q1,348723,266595,76.4,35259,28550,81.0,4.9,3.3,11,3
Food Security Initiative,Mozambique,Southern Africa,2025,Q2,2025-Q2,45025,28836,64.0,44661,40350,90.3,2.8,4.1,3,14
Food Security Initiative,Mozambique,Southern Africa,2025,Q3,2025-Q3,176217,160778,91.2,39515,34591,87.5,3.6,3.3,23,0
Food Security Initiative,Mozambique,Southern Africa,2025,Q4,2025-Q4,257579,202556,78.6,24215,20411,84.3,4.2,4.7,7,18
Food Security Initiative,Zimbabwe,Southern Africa,2021,Q1,2021-Q1,316535,248007,78.4,48835,30219,61.9,4.1,5.0,20,17
Food Security Initiative,Zimbabwe,Southern Africa,2021,Q2,2021-Q2,462758,286734,62.0,41029,38691,94.3,4.7,4.1,7,11
Food Security Initiative,Zimbabwe,Southern Africa,2021,Q3,2021-Q3,176867,123955,70.1,20647,17480,84.7,3.3,3.4,21,18
Food Security Initiative,Zimbabwe,Southern Africa,2021,Q4,2021-Q4,372548,259956,69.8,11173,10523,94.2,4.6,4.2,22,12
Food Security Initiative,Zimbabwe,Southern Africa,2022,Q1,2022-Q1,292454,282305,96.5,18228,14275,78.3,2.5,4.0,3,10
